user_id,artist_name,spendings,spotify_id,tag_id,genre
24824,tatum quinn,93.40607296098632,3s0DwmaExsRr8KGfE8RkhH,601,reggae
24824,tatum quinn,93.40607296098632,3s0DwmaExsRr8KGfE8RkhH,727,funk
24824,tatum quinn,93.40607296098632,3s0DwmaExsRr8KGfE8RkhH,709,trap
303724,jason kerrison,21.30211462877757,7iLGqGUSoPQtj8OH61HFwZ,601,reggae
303724,jason kerrison,21.30211462877757,7iLGqGUSoPQtj8OH61HFwZ,267,jazz
303724,jason kerrison,21.30211462877757,7iLGqGUSoPQtj8OH61HFwZ,709,trap
28027,k.b.,28.12620935730382,3Y0w7w2dUKo3DqPh2BDIxr,267,jazz
28027,k.b.,28.12620935730382,3Y0w7w2dUKo3DqPh2BDIxr,593,metal
451943,milo x kahefa,22.441810394296624,70o5L3YGkE7lxVWPro3fkV,432,pop
451943,milo x kahefa,22.441810394296624,70o5L3YGkE7lxVWPro3fkV,601,reggae
451943,milo x kahefa,22.441810394296624,70o5L3YGkE7lxVWPro3fkV,531,electronic_music
215894,cutter,27.4748360651776,0ti5jOsC9Jk3TjG5odyaps,593,metal
215894,cutter,27.4748360651776,0ti5jOsC9Jk3TjG5odyaps,785,soul
215894,cutter,27.4748360651776,0ti5jOsC9Jk3TjG5odyaps,900,rock
17052,great wave,80.00557495168006,21zEHj3svxppGr8k4jLLwm,432,pop
17052,great wave,80.00557495168006,21zEHj3svxppGr8k4jLLwm,145,hip_hop
17052,great wave,80.00557495168006,21zEHj3svxppGr8k4jLLwm,785,soul
69764,juha jyrkäs,67.27127397842074,7mU6mLKUc35mqhYcQJUaky,145,hip_hop
69764,juha jyrkäs,67.27127397842074,7mU6mLKUc35mqhYcQJUaky,593,metal
15342,charlyrod,11.185132733349324,70NNRWCobCZaQUHWEsQtaM,727,funk
15342,charlyrod,11.185132733349324,70NNRWCobCZaQUHWEsQtaM,267,jazz
15342,charlyrod,11.185132733349324,70NNRWCobCZaQUHWEsQtaM,709,trap
363965,raykan,49.232644631259504,1XNtJLp6bJiddZAbjcIQg4,709,trap
363965,raykan,49.232644631259504,1XNtJLp6bJiddZAbjcIQg4,785,soul
363965,raykan,49.232644631259504,1XNtJLp6bJiddZAbjcIQg4,531,electronic_music
257416,anna castiglia,83.77668080730245,5uFU675ZUIHhnhD8HcAluH,884,disco
257416,anna castiglia,83.77668080730245,5uFU675ZUIHhnhD8HcAluH,709,trap
257416,anna castiglia,83.77668080730245,5uFU675ZUIHhnhD8HcAluH,267,jazz
484591,mister t.,0.205724903339155,6A1aZ2enWVlVN2ZFPITgTR,432,pop
484591,mister t.,0.205724903339155,6A1aZ2enWVlVN2ZFPITgTR,593,metal
424177,koray tarhan,96.88037863081551,1EqnylfY9wZsKYCMuJOkT8,884,disco
424177,koray tarhan,96.88037863081551,1EqnylfY9wZsKYCMuJOkT8,785,soul
424177,koray tarhan,96.88037863081551,1EqnylfY9wZsKYCMuJOkT8,900,rock
169814,gerson marques,92.1755291068718,7vdWVGhRjWiT8VHuS9D9a5,709,trap
169814,gerson marques,92.1755291068718,7vdWVGhRjWiT8VHuS9D9a5,601,reggae
169814,gerson marques,92.1755291068718,7vdWVGhRjWiT8VHuS9D9a5,145,hip_hop
