user_id,tag_id
24824,601
303724,601
28027,267
451943,432
215894,593
17052,432
69764,145
15342,727
363965,709
257416,884
484591,432
424177,884
169814,709
373197,884
151254,727
248100,709
28018,884
28020,884
387083,531
28021,727
28033,267
28024,432
484592,785
424178,432
336042,884
257417,727
15045,531
118957,884
345353,709
387084,709
410267,900
69765,727
188243,709
285179,727
363966,785
312979,785
160541,145
69766,601
3005,601
363967,900
275896,432
424179,593
410268,145
336043,709
717,900
474,601
867,601
861,601
876,601
363968,709
288,884
843,727
606,531
282,432
781,531
751,145
465,531
704,727
142022,432
612,145
837,601
686,531
628,884
782,727
563,145
854,601
261,785
928,727
285181,531
894,601
774,727
640,709
247,267
723,785
775,145
643,785
373201,593
363969,531
1489,267
927,785
1852,267
1447,785
179013,884
931,709
1138,145
920,884
1340,727
303726,785
1252,900
1206,432
257419,709
1538,145
947,884
461354,900
1164,785
1034,145
336044,900
1315,432
924,785
1244,884
1510,709
1162,900
908,145
1259,727
202021,709
408,884
352,601
151257,531
1284,531
2078,727
1661,884
1759,884
2132,145
2070,709
2107,531
1609,593
2186,267
2221,709
202022,145
1793,593
1700,593
2220,145
1933,727
1931,267
2170,145
1683,145
1732,785
1885,145
1822,709
1735,709
2014,785
1724,531
1763,531
396445,601
1608,709
1672,267
387086,785
1817,727
2104,145
424180,785
2317,709
303727,727
461356,601
2433,601
345355,531
2471,593
2658,432
2386,267
2252,145
2530,884
2520,601
2794,900
2679,785
2698,900
2725,267
2927,593
2810,601
451950,785
8951,267
160544,145
2586,145
2529,432
2370,145
2877,432
2357,785
2678,531
2718,709
2537,145
2531,593
2314,531
2630,601
2634,727
2360,900
387088,709
3550,727
3127,593
3052,267
3115,531
3215,601
3016,900
1950,709
3391,267
484613,900
3108,785
1994,785
3432,145
3386,432
3203,884
3635,785
3407,727
3466,785
3241,785
3523,709
3323,884
3138,727
3424,884
3362,145
3711,145
3560,601
363971,727
3906,432
3588,727
285182,593
3823,145
322294,531
3779,900
4060,593
169820,601
682,432
4161,601
160547,145
3937,145
3589,593
4096,531
151260,709
387089,593
3802,531
3946,593
4014,593
303729,785
3950,785
3844,531
4144,593
3580,727
4145,432
4236,785
4408,785
4293,531
4336,727
424183,531
4314,785
4326,593
4317,884
4722,432
4701,900
4419,145
4591,531
4269,593
4406,267
4412,531
4528,601
363970,727
4275,531
4194,900
4350,267
5065,601
5154,727
5116,727
5132,432
4876,593
5130,432
4715,601
4745,709
4681,267
4775,727
5135,531
303730,593
424184,785
396450,601
4931,900
24340,727
5056,727
4742,145
160548,531
5241,601
5077,884
294458,531
5237,709
5137,593
5099,709
438058,900
5432,884
5652,267
5605,601
5626,145
5619,145
461358,531
5353,884
387090,785
5395,884
5374,709
5425,709
5609,267
5380,593
5571,432
275899,593
5608,900
5214,601
5496,900
5593,145
5411,267
5283,709
118961,145
5254,145
5627,884
188249,727
5382,432
410274,884
5486,267
5564,593
5697,601
5637,785
5459,884
5297,601
5595,785
993,531
491,785
985,727
517,145
354711,785
169818,593
23587,531
151261,727
23681,900
363972,267
536,593
543,884
958,601
128282,727
977,785
179014,531
69769,145
496,531
501,267
23653,709
5823,601
5696,601
23684,727
336046,432
1000,709
6261,900
6197,884
6115,900
6099,432
5383,601
6046,709
5705,785
6119,267
5964,709
6239,785
6028,531
179015,593
5783,593
6171,727
202024,432
5903,531
5832,531
6157,267
5952,884
303733,601
6215,884
6275,709
5942,727
160550,709
6167,145
5966,727
5849,267
6067,709
345356,884
5910,593
5885,593
6256,900
6232,601
6849,884
6497,145
6364,267
6280,593
6830,884
6719,900
6486,145
6774,267
6803,267
6649,709
