user_id,artist_name,spendings
24824,tatum quinn,93.40607296098631
303724,jason kerrison,21.30211462877757
28027,k.b.,28.12620935730382
451943,milo x kahefa,22.441810394296624
215894,cutter,27.4748360651776
17052,great wave,80.00557495168006
69764,juha jyrkäs,67.27127397842074
15342,charlyrod,11.185132733349324
363965,raykan,49.232644631259504
257416,anna castiglia,83.77668080730245
484591,mister t.,0.20572490333915505
424177,koray tarhan,96.88037863081551
169814,gerson marques,92.17552910687179
373197,engeezo,24.542321433824476
151254,leo nocta,73.39975645720716
248100,mc th13,0.4460266572283933
28018,credence,65.12705707356189
28020,n2blü,50.3508339714419
387083,nblm,28.171977416486616
28021,lando woods,0.9803930469393429
28033,joe bel,26.560768355987395
28024,erdem gul,17.171650861104105
484592,ote mansion,32.972509270382055
424178,durev,92.11517586397201
336042,gäze,87.71593072870486
257417,stan lord,83.73362564645701
15045,andy nagle,89.4587676519709
118957,7rpent,99.27958487542857
345353,wouter en de draak,52.865739123442005
387084,farnell newton,65.89180766084782
410267,elektra-rtk,40.41119219493046
69765,n3na,80.13326714359073
188243,rebecca & fiona,57.41786588674122
285179,abess,97.31081183033379
363966,le double a,1.9451250916122764
312979,2d,24.26269535308956
160541,menya 0z,15.19926359138969
69766,rive gauche,29.92386879822514
3005,ash red,99.97887446607413
363967,odweeyne,39.59240362759694
275896,panther hollow,68.19975097116354
424179,cosmic batwota,22.61422109058422
410268,2zer,27.48557069575227
336043,julia robert,92.72311414260464
717,hook,2.77734138785235
474,kalibre,9.84593426757785
867,stk,76.52275246797811
861,arthus fochi,39.611586053675396
876,hi2l,62.670591266325246
363968,eliott jane,47.99914950929808
288,pagliarini,49.16412519306479
843,bast,47.40142873597185
606,michael ekow,37.00192243572601
282,hotel paradisio,15.96749877213719
781,fin,97.79141313692614
751,mamguá,23.234786381603367
465,beyond charlie,9.621700988925719
704,pass'moi le celte,19.611462226201915
142022,pink milk,47.063851429450466
612,shaka,40.09086790023334
837,underlined passages,93.9175951123072
686,kanah athy,38.909210768292304
628,herr kaschke,18.235067655806493
782,yung kat,29.74252557805469
563,e-riser,25.414975919399797
854,raptyle,20.110334509232352
261,chromatic noise,14.64895264703021
928,dario della noce,60.05302502715843
285181,off g,53.09563281140689
894,lasse macbeth,93.60258304138652
774,alievski,55.741270557047365
640,dave blaxk,99.67861208653768
247,millo,75.19492267739535
723,cheb angelo,64.92201049683986
775,thomas geelens,22.456690615614928
643,lethvl optiks,92.41260929643448
373201,aurélie barbé,26.477808694372484
363969,mala oreen,55.67016724013341
1489,really khalil,58.05639133165528
927,st ghislain,50.08213691960912
1852,abdul gmega,68.17983403629223
1447,rafiction,20.050660535058583
179013,dave hillis,3.3179980307809886
931,sorrene,40.0719371787594
1138,fungi u.h.n.,61.75700714232541
920,mr e.rockkstar expose,87.87806650609895
1340,aga,19.504828887611314
303726,elbi,71.86253166222556
1252,yorxe,52.856239996659816
1206,leezy,80.50049009170957
257419,usko,49.32337366107515
1538,exil,54.84759103442576
947,i.lyel,51.435072820439245
461354,timmes,43.3915354368572
1164,kevin follet,50.00555389742001
1034,sacra-man,90.7598985182513
336044,jbeat mix,97.9270411556508
1315,the smoking pistols,84.19259904101314
924,pitaya kush,55.38562679667764
1244,rony tired,76.79879090097795
1510,leo raposo,20.4340249581458
